"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT06","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-18",,,"0.28",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-19",,,"0.31",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-20",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-21",,,"2.17",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-22",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-23",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-24",,,"1.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-25",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-29","    3","2.55",,,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-30",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-07-01",,,"1.12",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-07-02",,,"0.28",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-07-31",,,"0.63",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-01",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-02",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-03",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-04",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-05",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-06",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-07",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-08",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-09",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-10",,,"0.21",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-11",,,"0.18",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-12",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-13",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-14",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-15",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-16",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-17",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-18",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-19",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-20",,,"0.12",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-21",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-22",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-24",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-25",,,"0.41",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-26",,,"0.00",,,,,,,,,,
